text,identifier
将銀信已交成文之弟收入列𦤼谕楊成文曰今嵗汝須寫 信是细親帶来吧交楊開治托其代为帶回唐山楊開治 信只云有花邊銀二元到家餘無接及廖细供谓楊成文銀 供谓楊成文銀信去嵗是開親帶囬唐至家不見成文之母则 楊成文供谓去嵗成在萬丹有家信一封内花邊銀壹拾叁员交 廖细帶来吧嘱其轉交楊開治代帶囬家今年接家母来,12_21_0009_p009_r_73
削視 人 廖细覌 黄成林,12_21_0009_p009_r_3
39,12_21_0009_p009_r
嘧喳唠而陳是又不到 達氏禀報前期陳是約欲到𠅘盟神後竟不到兹谢晚再叫,12_21_0009_p009_r_4
楊成文 呌,12_21_0009_p009_r_18
楊開治,12_21_0009_p009_r_19
李六覌 尋不遇,12_21_0009_p009_r_20
鍾連義 不到,12_21_0009_p009_r_21
黄會覌 呌,12_21_0009_p009_r_17
余彦章 呌,12_21_0009_p009_r_16
謝晚覌 呌,12_21_0009_p009_r_14
黄甲 林甲 當事,12_21_0009_p009_r_11
古長覌 湯新覌 仝呌,12_21_0009_p009_r_9
39,12_21_0009_p009_r_7
謝晚覌 呌,12_21_0009_p009_r_6
,12_21_0009_p009_r_8
陳是覌 不到,12_21_0009_p009_r_15
戊二月初五日和 〡〧〨〨 年三月十二日拝三,12_21_0009_p009_r_13
楊双印 脚病不到,12_21_0009_p009_r_10
晚请限曰卄三日汝可来我䖏取錢郑顧之供如張玉所言 張玉郎云玉在暗涧時欲買奎柔偶見陳是前来特向谢 对過然陳是愿自坐还而且请限陳是云果無请限愿约明 當坐还 召问谢晚曰詹揚有会賬对過付汝向陳是取讨否答曰賬雖無 日到𠅘盟神列𦤼曰陳是若敢盟神不用坐还如不敢盟則 谢晚供谓去嵗十一月二十日詹揚有借去鈔錢四拾五文 陳是供谓是不過为詹揚理事而已並無咹呾豈宜坐还 屡讨叠限不还其夥记陳是亦屡限不还伏乞追究,12_21_0009_p009_r_2
削視 人 鄭顧覌 張玉郎,12_21_0009_p009_r_12
