text,identifier
囬復實奎炳存底,01_11_0008_p008_r_2
15,01_11_0008_p008_r_3
許類覌呌,01_11_0008_p008_r_13
吳度覌,01_11_0008_p008_r_25
高僭在萬丹不得相見是以不能如約懇乞從容得向高僭討錢自當清楚 許類供謂吴度所欠之錢前四月廿一日叫他嘧喳嘮他乞寬限至今 自當清楚許類甘願 不還伏乞追究吴度訴謂前約他要向高僭討錢湊還誰疑,01_11_0008_p008_r_16
十二月十六日清還徐洪綸甘願 疑不足信諭着池老三該坐還徐洪綸錢壹拾文池老三乞限 交來定錢壹拾文延至九月初八日他不來取出藥豈能久待則 追究 池老三供謂徐洪綸原議要買藥材前於八月初四日 買藥之定錢藥材既不果買定錢必消以此特投 臺下伏乞 將藥材轉賣於他人公堂查檢二比賬簿洪綸實而可信老三 伊店觀其藥材將壞遂不果買後向他討錢他云壹拾文乃是 他又托黄通玲來到敝鋪問欲買藥材否綸即仝黄通玲往 日要還後他又說有藥材於賣綸因少本未敢許諾越幾日 徐洪綸供謂池老三於本年八月初六日借去鈔錢壹拾文約數,01_11_0008_p008_r_10
林甲 黃甲 當事,01_11_0008_p008_r_38
徐洪綸呌,01_11_0008_p008_r_66
羅海遠呌,01_11_0008_p008_r_8
池老三  福周 又名曰,01_11_0008_p008_r_68
黎捷振 上山不到,01_11_0008_p008_r_64
當事丁十一月初四日和〡〧〨〧年十二月十二日拜三,01_11_0008_p008_r
暫掌撫養其兒子長成即將業交還執掌然我唐人住吧屬 大府中會議回覆其詞曰唐人祖家常例無做遺囑字凡人 上人公論裁奪 身故兒子幼穉財業其妻執掌若妻改適付其本夫親長 公班衙轄下公班衙有設立梁礁做掛沙字此法甚佳憑依 兹於丁未年十月十三日即和1787年十一月廿二日在甲必丹 承實奎炳列上臺諭下黄志娘投詞並雷珍蘭高根宣之 掛沙字仰甲必丹列位察閱照依唐人禮法如何詳明回覆,01_11_0008_p008_r_4
