text,identifier
61,22_31_0010_p010_r_188
蔡泉水呌,22_31_0010_p010_r_186
林盛覌呌,22_31_0010_p010_r_175
鄭祥覌呌,22_31_0010_p010_r_9
黃庵覌呌,22_31_0010_p010_r_7
胡記覌 胡記覌 呌,22_31_0010_p010_r_4
60,22_31_0010_p010_r_3
楊順覌,22_31_0010_p010_r_187
蔡泉水供谓家父蔡勤前在吧臨終時做字付楊順,22_31_0010_p010_r_189
洋船回唐兹復到吧再相逢屡討分文不吐陳供 谓林盛回唐付林念安掛沙所欠之錢已經將貨並錢 交还掛沙人取去除外只長來錢叁鈸零半方俱有知見 堂訊奪 零染文叁鈸零半方後陳𤆬遁逃此帳未清無奈姑隨 人爲證列臺諭後期唤知見人並念安之弟林近到 林盛供谓前乙巳年陳𤆬去貨對除外尚長去錢壹百,22_31_0010_p010_r_185
陈𤆬觀,22_31_0010_p010_r_176
帶到王甲酒竈欲爲查算及期賤體微恙不得 鄭祥供谓前期一七八八年五月七日蒙公堂着祥與朱温各携帳簿 前往是以有負所約請乞赦罪伏望再爲審实 列臺諭二比各將帳簿携到楊甲府中細查,22_31_0010_p010_r_165
朱溫覌,22_31_0010_p010_r_10
黃賞覌 二期不到,22_31_0010_p010_r_8
顛狂不顧家後伊叔李焕遠伊兄李伯壽可为削 視證實勘問便知兹小女衣食無資難以過日欲 胡記供谓小女前配與李東秀爲妻兹東秀失心 改適他人伏乞公堂恩準給交寅字列臺曰須唤 李東秀到堂審實後可决奪,22_31_0010_p010_r_6
李焕遠 李伯壽,22_31_0010_p010_r_5
林良山與張福生李招鄭顯祖爲交關錢數過多 六月間清楚林良山甘愿 公堂不理林良山又供谓黄淑泉有欠去錢貳拾 柒文貳鈸三方屡限不还伏乞究追黄淑泉乞限至,22_31_0010_p010_r_2
