text,identifier
甘翰覌呌,22_31_0006_p006_r_3
52,22_31_0006_p006_r_18
53,22_31_0006_p006_r_12
江占覌 嚴四哥 洪榮華 呂元覌 葉逢覌 黃編覌 鍾滿覌 黃八哥 仝呌,22_31_0006_p006_r_9
林騰覌呌,22_31_0006_p006_r_7
列臺勿罪,22_31_0006_p006_r_6
與賴宴承坐今邦秀棄世四等工錢合共總計五百七十七文 嚴四等为黄邦秀治園後黄邦秀將所有家業牛馬荳園估 所有園圃粟荳家伙盡估與賴宴承坐其龜里工錢原 三鈸二方二子賴宴不肯坐还賴宴供谓宴向黄邦秀估 工錢如宴估後之工自當坐还黄連生供谓先父在日將 議賴宴該还列臺諭二比曰此事不敢理问可到上 人臺前案奪 家伙牛馬園圃共錢貳千貳百七十五文零四方半其龜里,22_31_0006_p006_r_11
賴宴覌 黃連生,22_31_0006_p006_r_10
林在覌 黃光儀 不到,22_31_0006_p006_r_8
甘翰供谓前期一七八八年四月九日呌陳約嘧喳嘮討錢蒙斷着翰二比會算 月止計錢貳拾貳文貳鈸對除外尚欠去錢壹拾陸文貳鈸貳 五文叁鈸四方他該坐飼猪龜里工一半錢丁丁未乾隆五十二年三月起至十二 方列臺查甘翰帳簿丁乾隆丁未年十二月廿五日曾有與陳約會數陳 約尚欠去錢貳拾五文三鈸丁乾隆丁未年十二月三十日陳約还來錢壹拾 陸文又來肉該錢貳文貳鈸一方除外陳約尚欠去錢柒文0 五方列臺駁陳約曰據爾所供去年三月倩工起至十二 月三十日與甘翰面會數目何不扣抵龜里錢説謊是真 陳約愿憑甘翰之數柒文零五方清还當堂坐不是乞 陳約不肯無奈再瀆陳約供谓蒙斷經會算尚欠他錢,22_31_0006_p006_r_5
,22_31_0006_p006_r_4
朱温等代朱蹇掛沙朱蹇在日有與鄭祥合夥數目 下午各將帳簿携到王甲酒竈同朱葛礁查檢清算二 比皆愿 未清楚公堂因本月是王甲雷珍蘭王珠生公勃低諭着二比於翌日,22_31_0006_p006_r
