text,identifier
陳𤆬覌 呌,32_41_0003_p003_r_6
林盛覌 呌,32_41_0003_p003_r_7
66,32_41_0003_p003_r_8
林近覌,32_41_0003_p003_r_4
67,32_41_0003_p003_r_14
鄭昆生 呌,32_41_0003_p003_r_15
古亜童,32_41_0003_p003_r_11
鄭昆生供谓古亜童仝伊叔古玉蘭買去火油一十五办每 办價錢弍文〇五方行的錢叁拾叁文〇三方限四月终清还,32_41_0003_p003_r_13
本合算彭永青共欠去銭四拾五文一犮三方半列𦤼谕着 彭永青喚削視後期到堂讯奪 该工錢四拾弍文一犮又代買什物并对去銭共四拾玖文二犮 弍方除外尚欠去銭四拾柒文三犮二方半蔡全呈上帳簿二 彭永青供谓去年青为蔡全押杉板于六月初二日𧺫至 四方半合共该銭玖拾壹文叁犮四方半有还来錢四拾四文〇 十二月十五日止共做工五個半月每月議工錢陆文二犮行计,32_41_0003_p003_r_12
彭永青 呌,32_41_0003_p003_r_16
蔡全覌,32_41_0003_p003_r_10
三犮三方半 錢四包并現錢二十五文除外陳𤆬尚该坐还錢三十文〇 𠅘會盟列𦤼照前期林盛所供陳𤆬所欠之錢扣除鹿肉,32_41_0003_p003_r_9
陳𤆬供谓林近前秤去鹿肉六包祈追林念安帳簿查阅 林近云念安被上人黎壠帳簿已失無可奉阅前只有取 行情愿盟神林盛云陳𤆬言其有还家念安去銭二十 来鹿肉四包净重四百一十五斤每担價銭壹十弍文弍犮 五文彼若敢盟神盛當坐帳陳𤆬愿盟二比約次日到,32_41_0003_p003_r_5
陳𤆬 林次 覌,32_41_0003_p003_r_2
又囬家之信係林次老所寄祈为審实 林盛为前年陳𤆬有欠去貨銭供详前期四月十六日,32_41_0003_p003_r_3
靡不知情 篓又亜烟三十三篓又後再还来亜烟九篓尚欠亜 烟四十九篓削視人李靡供谓李喬寄林笑去亜烟 至十一月初五日有还来甲办一个甘蜜一篓又甘蜜五烟 内有纱囊一條白褲一條刀仔弍枝又文烟一个重四斤 平,32_41_0003_p003_r
