text,identifier
69,32_41_0004_p004_r_11
王賢覌 呌,32_41_0004_p004_r_12
鄭昆生 呌,32_41_0004_p004_r_14
林甲,32_41_0004_p004_r_17
黄甲,32_41_0004_p004_r_236
古亜童 張蘭覌,32_41_0004_p004_r_15
當事戊五月初八日和 〡〧〨〨 年六月十一日拝三,32_41_0004_p004_r_16
徐永供谓永無分文與他長短祈查蔡文日清簿上 王贤供谓徐永自乾隆己亥年欠家母舅蔡文货銭至 本年止对除外尚欠去母利錢共玖百叁拾柒文家母 舅嘱讨此銭付其兒蔡建取用屡次往讨他全然不理,32_41_0004_p004_r_19
徐永覌,32_41_0004_p004_r_13
经手又查古亜童簿上無鄭昆名字而郑昆又無帳 鄭昆供详前期古亜童張蘭各将帳簿奉阅公 簿可阅特谕郑昆喚削視往投外淡察奪 堂查張蘭簿中有古玉蘭去油壹拾五办係古亜童代,32_41_0004_p004_r_18
黄𢊊覌 呌,32_41_0004_p004_r_7
許仗覌 呌,32_41_0004_p004_r_4
黎漢元 呌,32_41_0004_p004_r_2
黄賞覌,32_41_0004_p004_r_6
賞限唐船囬後陸續清还 黄𢊊供谓黄賞有欠去錢壹百柒拾捌文三犮三方黄 列𦤼議䖏黄賞名下还錢壹百陆拾文黄𢊊甘愿黄 賞呈上帳簿只有欠来錢壹百陆拾捌文三犮三方,32_41_0004_p004_r_8
薛再生 不到,32_41_0004_p004_r_5
奎炳呌嘧喳唠 黎漢元供谓黎欽元有做梁礁字二次共欠去錢壹千五 百文取讨分文不吐黎欽元認有列𦤼谕黎漢元投寔,32_41_0004_p004_r_9
黎欽元,32_41_0004_p004_r_3
古玉蘭承買與童無干今玉蘭不幸身故郑昆生廹童 取錢焉肻坐还列𦤼谕着二比後期取帳簿到堂查阅 今玉蘭身故亜童不坐古亜童供谓郑昆生之油係族叔,32_41_0004_p004_r_10
68,32_41_0004_p004_r
