text,identifier
許類覌叫,01_11_0009_p009_r
李翁覌,01_11_0009_p009_r_14
林甲漢丹官請高甲根官事例之遺錢,01_11_0009_p009_r_6
17,01_11_0009_p009_r_2
王霸覌叫,01_11_0009_p009_r_27
林儀覌 陳炳郎 娅成光 不到,01_11_0009_p009_r_49
對除外成光舅尚長去錢五百四十一文叁鈸三方舊又有寄書囑此錢 王霸供謂家嬸莆石娘住在舊港前有寄單到吧與莆成光舅 切交霸手代爲帶入舊港及霸到吧不幸成光舅經已棄世向其,01_11_0009_p009_r_29
黎欽覌呌 原告报 病不到,01_11_0009_p009_r_25
李阿七呌,01_11_0009_p009_r_21
林甲 黄甲 當事,01_11_0009_p009_r_57
羅海遠呌,01_11_0009_p009_r_15
張帖覌 被告亦不到,01_11_0009_p009_r_51
溫端壽 ,01_11_0009_p009_r_53
李阿七供謂温端壽前有欠去湊會之錢貳拾玖文零一方半 屡討不还 列臺因會錢之事公堂不理,01_11_0009_p009_r_23
着二比預先在外會算有長短幾多錢如不肯還而後可 投公堂決奪 羅海遠欲向黎捷振討錢因未有會帳不知若干錢公堂,01_11_0009_p009_r_17
黎捷振,01_11_0009_p009_r_64
丁十一月十一日和年十二月十九日拜三,01_11_0009_p009_r_71
止其餘三個月該錢壹百柒拾五文應付新雷珍蘭林漢丹 仔並稱亭事例錢全年共七百文當於仙逝之月和九月終爲 得之 公堂會議爲雷珍蘭高根官棄世本年未滿其所應得賭傌,01_11_0009_p009_r_8
文列臺着二比在外對賬會算 四文貳鈸五方其餘屢討不還李翁訴謂已還去錢四拾柒餘 許類供謂李翁前對家兄許遠去漆的錢五拾文後還來錢壹拾,01_11_0009_p009_r_4
