text,identifier
林聽覌呌,01_11_0003_p003_r_7
 黃倦覌,01_11_0003_p003_r_95
李雙榜 李秀常 李兆龍 蘇春娘,01_11_0003_p003_r_117
蔡龍洪 蔡六覌 俱不到,01_11_0003_p003_r_133
達氏禀報原被告初已齊到堂外今皆相率散歸,01_11_0003_p003_r_14
削視 人 陳秀義 李亞正 張寅觀 鄭承泰 李寧柏,01_11_0003_p003_r_119
5,01_11_0003_p003_r_2
黃會覌呌,01_11_0003_p003_r_16
李日昌呌,01_11_0003_p003_r_12
甲必丹大投告彼時方得小女携歸此後黄倦在外淡處復叫嘧 喳嘮要討使費 外淡着聽坐他費錢貳拾五文兹將鈔錢貳拾五文當 堂交黄倦收入懇乞後來無復生端黄倦收錢而退 身則可兹聽復臨吧地向黄倦欲挈回小女他不肯與前已向外淡 坐錢五拾文並幼女亦托爲養飼做字議此婢不得轉賣他人付其出 林聽供謂聽前有一妾生一女年才四月因欲回唐將妾付與黄倦承,01_11_0003_p003_r_9
推落海船主並無啟口使他陷召問呂才蔡四川所供與黄榜相同又 問吴遠有削視否答曰有列臺謂此事有關人命公堂 不得判斷命達氏將吴遠鍾來二人押往外澹處察奪 聞言則將其女婢自推落海中來何嘗迫他陷溺其婢究問同舟之 人便知召問夥長黄榜日此中情理如何可據實供招答曰吴遠所 買之女婢在貓厘本已癲狂失心因在船中半夜喧嚷是他將婢自 嚷不已有同船幾人云此婢既已失心雖到吧欲賣必無下手敢承吴遠 海中兹到吧無錢可以還債伏乞 列臺諭鍾來坐還女婢價錢 鍾來供謂吴遠所買女婢在貓厘原已癲狂失心及附搭草舟半夜喧 推落海中如不從則欲將遠本身陷害以此無奈故將女婢推落 吴遠供謂遠在貓厘有買女婢一名附搭鍾來之船來吧船行四五日 女婢爲離鄉思親怨念不已船主鍾來云此婢癲狂失心着遠,01_11_0003_p003_r_3
吳遠覌呌,01_11_0003_p003_r
鍾來覌,01_11_0003_p003_r_81
