text,identifier
美色甘 呌,12_21_0001_p001_r_31
王甲 唐甲 當事,12_21_0001_p001_r_40
23,12_21_0001_p001_r_2
蔡治覌 髙香 江套 呌,12_21_0001_p001_r_15
髙桃覌,12_21_0001_p001_r_16
削視 人 方臏 蔡章 謝暹,12_21_0001_p001_r_18
押往外淡䖏察奪至下午四點鐘甲大仝諸葛礁往見外淡 将蔡治等前後期之口供细讀奉闻外淡嘱諸葛礁将供抄過 和蘭字可以详覧诸葛礁承命即往和蘭財副䖏将蔡治等前後 桃曰汝所取蔡治之銭若干可據实供招荅曰桃確無取誰敢 期诸口供付其抄過和蘭字抄畢至拝五下午将字交外淡收覧 指实列𦤼曰为盗之情公堂不得盤问審实谕狗箠将髙桃 蔡治供谓治在外询探髙桃所偷之銭並無着落召问髙,12_21_0001_p001_r_24
承唐人美色甘委查王祖賬簿與盧科交関虚寔何如囬覆陳明本 日 虚無寔不能取信谨覆 公堂细阅王祖日清簿内中所記盧科名下往来賬項有幾條 于字行边之缝添寫一行小字非是正法不足为憑着諸葛礁 抄寫和蘭字一帋囬覆美色甘云王祖賬簿公堂經已検阅有,12_21_0001_p001_r_34
王祖覌,12_21_0001_p001_r_1416
丁十二月初二日和 〡〧〨〨 年正月初九日拝三,12_21_0001_p001_r_41
22,12_21_0001_p001_r
芬價降賎他云未兑之芬寔是甲溎之額为此反覆是以 甲溎不肯坐囬列𦤼谕定準後期可仝黄德齊到公堂而 後讯奪 芬李葵云先兑之芬定準着葵登賬作甲溎之額後来 則與李葵相商芬價如此太賎陳溎之芬何以䖏之李葵云不 先兑之芬其價稍可後来芬價日降而陳溎之芬尚存未發 云三宝壠陳甲必丹溎官有亜芬寄在本船托为代賣及到䖏 若帶囬原物为妙定依其言及到壠陳甲溎官不肯坐囬其 訴谓在吧寔是葵與定準經已结數会明及到浪定準云他自 何公司之参有失重故有扣他錢額亦因其言所致也定準又 己所置海参皆無失重以此陳淋公怪他自己之参無失重为,12_21_0001_p001_r_6
