text,identifier
吳琳觀呌,01_11_0010_p010_r_24
19,01_11_0010_p010_r_35
王甲 唐甲 當事,01_11_0010_p010_r_75
甲必丹大府中嘧喳嘮,01_11_0010_p010_r_30
江套 蔡治觀 高香 呌,01_11_0010_p010_r_32
高桃覌,01_11_0010_p010_r_101
削視 人 林莊之女婢名萬熱 謝暹觀 蔡章 方臏,01_11_0010_p010_r_103
當事丁十一月廿八日和〡〧〨〨年正月初五日拜六,01_11_0010_p010_r_28
貳拾五文王威懇乞暫歸告於賭主黄素知情少焉王威仝黄 贖回他云劍已失落不肯交還伏乞追究 王威訴謂吴琳之 枰將劍交財副王威之手當錢五文逐月俱有納還利錢兹要 所當去錢五文今此鈔錢湊足共貳拾五文吴琳甘願收錢而退 素齊到並帶來鈔錢貳拾文當堂交吴琳取去且云吴琳前 劍果已失落情願坐賠列臺諭王威曰汝既願坐應當賠錢,01_11_0010_p010_r_26
吴琳供謂琳有鑲銀和蘭劍壹枝前六月十二日在廿六間賭,01_11_0010_p010_r_34
甲必丹大府中嘧喳嘮,01_11_0010_p010_r_22
王威覌,01_11_0010_p010_r_19
許類觀呌,01_11_0010_p010_r_18
黄甲 林甲 當事,01_11_0010_p010_r_20
李翁觀 不到,01_11_0010_p010_r_13
丁十一月廿二日和〡〧〨〧年十二月三十日礼拜,01_11_0010_p010_r_74
臺下乞爲嚴究 陳炳林儀供謂莆石娘所寄之書内用謹封圖 妥當相識代爲咹呾其錢即當清楚 書奉覽公堂檢看其書二封俱用謹封圖章果不足以取 信王霸云欲引二人妥當相識代爲咹呾可乎陳炳云若有 掛沙人陳炳郎林儀及成光妗取討此錢不肯交還特禀 章難以取信况與王霸又素不相識是以不敢交錢謹將石娘之,01_11_0010_p010_r
