text,identifier
56,22_31_0008_p008_r
陳鵠覌 蔡玉振 呌,22_31_0008_p008_r_43
陳甲 楊甲 當事,22_31_0008_p008_r_8
甲必丹大呌,22_31_0008_p008_r_5
余維穆呌,22_31_0008_p008_r_2
李寧二,22_31_0008_p008_r_3
陳鵠覌 蔡玉振,22_31_0008_p008_r_6
57,22_31_0008_p008_r_81
黃會覌呌,22_31_0008_p008_r_68
陳金覌呌,22_31_0008_p008_r_66
蔡六覌,22_31_0008_p008_r_70
黄會與蔡六为交關帳目不明各携帳簿到堂懇为察 楊甲府中細查 公堂一時難以算明谕二比下午各將帳簿携到 閲公斷列臺閲二比帳簿長短不對而且條目繁雜,22_31_0008_p008_r_72
蔡壬覌 不到,22_31_0008_p008_r_67
蔡玉振供谓高充有欠去佛頭銀叁拾陸員銅錢貳百五拾 佛頭銀陸員半李乾元有欠去佛頭銀貳拾四員陳承恩欠 去佛頭銀壹拾陸員八分以上俱各有寫來欠銀單執照兹 对会便於取讨銀項其餘有欠銀諸客者俟後期再引到堂 并將其单逐一要交陳鵠對會 將其單五張交船主陳鵠收執其人五名亦當堂面交陳鵠 文陳榜有欠去佛頭銀壹拾叁員銅錢五百文郭揆臨有欠去,22_31_0008_p008_r_45
高注覌 高酌覌 高充覌 林業覌 不到 不到 不到 陳榜覌 郭揆臨 陳承恩 李乾元,22_31_0008_p008_r_44
戊四月初九日和〡〧〨〨年五月十四日拜三,22_31_0008_p008_r_27
甲必丹大前收船主陳鵠一单本日當堂將单交陳 鵠收囬又將蔡玉振交陳鵠引囬土庫,22_31_0008_p008_r_7
李寧二措錢壹拾叁文叁鈸四方半當堂交还余維穆 收去餘尚欠錢九文乞限後期拜三清楚,22_31_0008_p008_r_4
