text,identifier
72,32_41_0006_p006_r
林甲,32_41_0006_p006_r_2
孫暦覌 呌,32_41_0006_p006_r_16
林双桂 呌,32_41_0006_p006_r_10
李貞娘 呌,32_41_0006_p006_r_7
邱計覌 呌,32_41_0006_p006_r_5
陳望覌,32_41_0006_p006_r_9
73,32_41_0006_p006_r_13
吳宋覌 呌,32_41_0006_p006_r_14
吳得覌,32_41_0006_p006_r_15
孫暦供谓王成本年正月十三日有咹呾張保生去一束鏡 成该坐还錢壹拾四文一犮三方二比甘愿王成乞寬还明 身每劳價錢三犮三方行縂共计錢弍拾捌文叁犮兹保 壹拾劳身每劳價錢壹文〇三方行又去三束鏡弍拾劳 生在三宝垅身故王成不肻坐帳王成供谓正月十二日成 與張保生有向孫暦议欲買鏡未有定着後来他付保生何 開单付王成知情既已両悮公堂議䖏二比各坐一半王 时出鏡並無通知列𦤼谕孫暦曰汝付保生出鏡後何無,32_41_0006_p006_r_12
王成覌,32_41_0006_p006_r_17
検看有亀背之疾是日晚即将婢送囬他已将婢轉 隔日陳望该还其定銭陳望甘愿 賣他人桂之定錢壹拾文不肻囬还列𦤼云買婢未有 破相帶疾即欲送囬現交去定錢壹拾文将婢携歸 六点鍾,32_41_0006_p006_r_18
林双桂供谓五月初六日桂有向陳望買女婢一名议此婢如有,32_41_0006_p006_r_24
吳蘓秦 二期不到,32_41_0006_p006_r_8
诉谓瑞前年果無取金線有與他長短伏乞察情列𦤼 未清計已囬家至本年𦂯復出吧向他取讨不还许双瑞 計叁箱每箱價錢叁拾捌文行共銭壹百壹拾四文是年此帳 邱計供谓许双瑞自乾隆甲辰年正月十六日去金線一套 云双瑞係夥長宗親可问许珠虚实自明 许珠,32_41_0006_p006_r_23
許双瑞,32_41_0006_p006_r_6
削視 許珠覌 不到,32_41_0006_p006_r_11
當事戊五月卄二日和 〡〧〨〨 年六月卄五日拝三,32_41_0006_p006_r_4
黄甲,32_41_0006_p006_r_3
