text,identifier
27,12_21_0003_p003_r_7
陳舉覌 呌,12_21_0003_p003_r_4
黄註覌,12_21_0003_p003_r_340
和息 李葵覌,12_21_0003_p003_r_586
三阄 黄甲 林甲,12_21_0003_p003_r_590
公堂會議出海接唐船每阄一礼拝本日起依次輪流週而復始,12_21_0003_p003_r_584
削視 劉𡵯覌,12_21_0003_p003_r_587
有欠家兄之錢壹拾文現有帳簿可证不肯坐还仍叫嘧喳唠 并衫仔手巾什物被其強留不许搬出黄註供谓陳舉 云舉有欠伊兄之錢壹拾文则将舉之宝厨一个巴暦頭八枝 列𦤼勧谕黄註将陳舉物件还伊取去所欠之錢小可免讨 陳舉供谓黄註原邀舉住在賭枰料理伙食至本年终辭出,12_21_0003_p003_r_3
唐甲 王甲 當事 上蔀不到,12_21_0003_p003_r_30
首阄 唐甲 王甲,12_21_0003_p003_r_588
丁十二月初九日和 〡〧〨〨 年正月十六日拝三,12_21_0003_p003_r_31
二阄 陳甲 樣甲,12_21_0003_p003_r_589
黄德覌 黄定凖 呌,12_21_0003_p003_r_585
許𩔗覌 呌,12_21_0003_p003_r_22
趙帶覌 呌,12_21_0003_p003_r
26,12_21_0003_p003_r_6
許𩔗供謂前蒙公斷着𩔗同李翁往问家嫂有取何物而李 在切仝許𩔗往问其嫂对会明白 翁不肯往对以此再禀列𦤼怒责李翁面從背違令其現,12_21_0003_p003_r_9
李翁覌,12_21_0003_p003_r_23
鄭春覌 不到,12_21_0003_p003_r_21
相讓又不聽勧谕命達氏押往内淡䖏察奪 文一犮代还昌盛辭而不受其本身又不愿还錢列𦤼因二比不能 神指昌有喫他飯前所取之工錢情愿囬还列𦤼曰此乃小可何必多 錢壹文一犮此錢完明即将鞋籠囬还陳甲富官欲为昌盛出錢壹 端勧谕寕義将鞋籠交还昌盛便罷寕義云昌盛前尚長去 特投𦤼下伏乞𭴪究李寕義云昌盛寝食在敝䖏容不得扣 質实寕義云昌盛若敢盟神願貼他錢五文昌盛云寕義若敢盟 馬椅壹隻牛皮壹副此數项他不肯交还云欲扣算伙食厝税錢 算伙食乎昌盛云惟有夜间在伊家傍宿並無喫他顿飯愿盟神 若,12_21_0003_p003_r_8
