text,identifier
58,22_31_0009_p009_r
59,22_31_0009_p009_r_22
林良山呌,22_31_0009_p009_r_23
蔡玉振 陳鵠覌 不到 呌,22_31_0009_p009_r_17
黃季元 余芳良 呌,22_31_0009_p009_r_15
陳甲 楊甲 當事,22_31_0009_p009_r_13
余維穆呌,22_31_0009_p009_r_10
余芳良 黃季元 呌,22_31_0009_p009_r_8
黃庵覌呌,22_31_0009_p009_r_6
詹千壽呌,22_31_0009_p009_r_18
陳美覌呌,22_31_0009_p009_r_2
詹揚覌,22_31_0009_p009_r_19
文壹鈸叁方列臺因陳美帳項有與黄会蔡六互相 陳美供谓蔡六有去雙烛銀四拾員折錢五拾四文叁鈸 交加谕陳美下午可將帳簿携到楊甲府中細查 又去錢貳拾捌文貳鈸即來火油壹拾五辦每办價錢貳,22_31_0009_p009_r_5
李寧二,22_31_0009_p009_r_11
李招覌 張福生 鄭顯祖 黃淑泉,22_31_0009_p009_r_24
高酌覌 高注覌 林業覌 不到 病不到,22_31_0009_p009_r_21
許浪生 三期不到,22_31_0009_p009_r_16
戊四月十六日和〡〧〨〨年五月二十一日拜三,22_31_0009_p009_r_14
文找还清楚余維穆收錢謝退 李寧二前尚欠余維穆之錢未完兹特到堂措錢九,22_31_0009_p009_r_12
許浪生 二期不到,22_31_0009_p009_r_9
黃賞覌 不到,22_31_0009_p009_r_7
詹千壽供谓詹揚所欠之錢前三月初四日一七八八年四月九日在公堂限要 每月还錢五文兹已過期分文不吐詹揚再乞限至 此十六日措还千壽甘愿,22_31_0009_p009_r_4
削視 蔡及覌,22_31_0009_p009_r_20
蔡六覌,22_31_0009_p009_r_3
