text,identifier
亜喜知覺随即趋投船主林恩谋起不良之心將朝毆打左 胡亜朝等供谓朝等三人为附搭紅頭合利鵃之船来吧行至水 似此含冤無䖏可伸特禀𦤼前望为究治召问郑亜城曰 汝在船中以绳綑缚陳𠃔𪔂有否答曰因其盗柑是以缚之 愿胡亜朝陳𠃔𪔂陳慶隆俱皆甘愿至二月初一日郑亜 城经在观音𠅘演戲壹檯以罰其罪 途偶因口渴有取船中紅柑食以消渴被親丁林亜邊郑亜城朱 堂谕䖏罰汝演戲壹檯坐賠不是愿否不愿鄭亜城甘 列𦤼谕郑亜城曰盗柑乃小節将人綑縛是大不该兹本 眼受傷又将陳𠃔𪔂用绳綑缚意欲丢海船中之人悉皆知見,12_21_0008_p008_r_5
37,12_21_0008_p008_r_2
陳慶隆 胡亜朝 陳𠃔𪔂 仝呌,12_21_0008_p008_r
朱亜喜 鄭亜城 林恩覌 林亜邊 病不到,12_21_0008_p008_r_30
削視 人 鍾仁鳴 周亜奕 谢亜盛 胡浪士 赖亜敏,12_21_0008_p008_r_31
經已还明其餘船税悉皆愿坐湯八亦甘愿,12_21_0008_p008_r_736
囬船税花边宋銀壹拾四员剑錢捌员湯鞏云双烛銀壹拾陆员 苦有家書一封交湯八代为帶囬且嘱其临行烦为復来取銀及至 特为此事伏乞公斷湯鞏供谓去嵗唐船囬期孱軀为疾所 谕湯鞏曰既已失悮可还湯八双烛銀壹拾陆员又该坐还湯八往 湯八供谓八去嵗囬唐谁疑湯鞏寫家信云有寄双烛銀壹拾 临行竟無復来而鞏疾甚又不能行動以致有書無銀列𦤼 陆員付八代为帶回实無此銀致我在唐破銀坐賠今復来吧,12_21_0008_p008_r_3
36,12_21_0008_p008_r_457
林甲 黄甲 當事,12_21_0008_p008_r_6
湯八覌 呌,12_21_0008_p008_r_468
李寕栢 呌,12_21_0008_p008_r_466
湯鞏覌,12_21_0008_p008_r_470
李阿開 李寕義 李阿田 復去 来而,12_21_0008_p008_r_421
乹隆 戊申年正月卄八日和 〡〧〨〨 年三月初五日拜三,12_21_0008_p008_r_148
削視 人 余维穆 李旭賛 李瓊英 余维忠,12_21_0008_p008_r_85
