text,identifier
回復 王上為陳國使事存底,01_11_0004_p004_r_6
7,01_11_0004_p004_r_2
王鄰覌 呌,01_11_0004_p004_r_28
陳甲 楊甲 當事,01_11_0004_p004_r_50
鐘來覌,01_11_0004_p004_r_30
丁十月十二日和〡〧〨〧年十一月廿一日拜三,01_11_0004_p004_r_51
上裁 使尚侵用陳富老之錢柒佰柒拾玖文一鈸一方謹此連原詞復禀,01_11_0004_p004_r_22
腳猶掛練反目亂滚故船主將僕推陷落海削視林天 事 削視許安供謂王鄰之僕在船作難自解手上鐵練 鐵鏈擾動亂滚推偃許安下海幸許安墜落厠中得保無 王鄰供謂鄰在貓厘有買一男僕附搭鍾來之船行至中途鍾 之血本一旦沉没伏乞究追 鍾來供謂王鄰之僕在船反 目是以推陷落海 問其僕有執利器否答曰手無利器腳帶 來將鄰之僕以藤仔鞭打打畢則推僕陷落海中奔波千里,01_11_0004_p004_r_16
千貳百柒拾玖文一鲅一方對除蔀價壹萬捌千五百文外陳國 錢雷珍蘭陳富老有代陳國使還欠項並其親取之錢共壹萬玖 蔡敦奉 王上諭查陳國使之事敦同列位雷珍蘭召陳國使母 外實代伊母出去錢貳千玖百玖拾捌文貳鈸一方又查其賣蔀之 千叁百四十八文貳一方該坐伊母錢項叁千叁百五拾文對除 子對訊並查其帳簿陳國使有代伊母許萃娘出什費錢陸,01_11_0004_p004_r_8
召問許萃娘及陳國使事,01_11_0004_p004_r
坐國使錢貳千玖百玖拾捌文貳鈸一方 公堂問許萃娘願坐此項 什費計用去餞陸千叁百四十八文貳鈸一方對除外許萃娘尚該 錢否答曰容乞静思異日回復 使該坐去錢叁千叁百五拾文陳國使亦呈一册代伊母許萃娘出 許萃娘及其子陳國使供詳前期九月二十日茲許萃娘呈一單國,01_11_0004_p004_r_4
