text,identifier
趙帶覌 呌,12_21_0006_p006_r_5
鄭春覌,12_21_0006_p006_r_11
趙帶供谓有向帶買去大黄壹拾担的錢叁百文有交来錢壹百 郑春,12_21_0006_p006_r_237
戴比 吳續 覌 呌,12_21_0006_p006_r_3
32,12_21_0006_p006_r_350
33,12_21_0006_p006_r_333
蘓寅郎 呌,12_21_0006_p006_r_13
吳天開,12_21_0006_p006_r_14
削視 游茂盛 陳斗師 吳三观,12_21_0006_p006_r_9
,12_21_0006_p006_r_12
陳舉覌 呌,12_21_0006_p006_r_7
黄註观,12_21_0006_p006_r_325
𦤼前究治吴天開供谓開與蘓寅母胰私通有日近時蘓 蘓寅供谓寅無故被吳天開用鉄尺痛打一塲衆目所視特投,12_21_0006_p006_r_10
谓並無接入此物列𦤼勧息陳舉甘愿 陳舉供谓前期蒙𦤼案斷厨仔已經掷还其餘酒瓶茶 礶巴暦頭衣裳等項未有交还以此再凟尊威黄註供,12_21_0006_p006_r_8
青外实该找去錢壹百〇陆文叁犮一方鄭春又供谓大黄尚 未脱出愿将原货送还不然趙帶可照分出在本錢 銅青弍拾捌斤的錢陆拾文又去大黄一十九斤的錢五文弍犮 五方連前去現錢壹百文共錢弍百五拾叁文〇五方除外尚该找去 錢四拾六文叁犮一方趙带愿将原銅青送还二比甘愿再除銅 是实趙帶有去和蘭帽弍拾五顶的錢八十七文弍犮又去 文其餘至今並無交还此係原議合夥鄭春供谓大黄合夥,12_21_0006_p006_r_6
甲大府中與吳續戴比会算林每遵依 吳續供謂林每去年九月间请續作甲板副蛮律議辛金每 月壹拾文计做十二個月该錢壹百弍拾文止有取他錢计鐳壹 坐他伙食錢未知若干尚存若干林每供谓每現病未愈况 家媽惧被禁是以未得会算列𦤼谕着林每将數带到 拾壹千子戴比供谓比亦做甲板十二個月该錢壹百弍拾文该,12_21_0006_p006_r_4
林每覌,12_21_0006_p006_r
盛賬簿尚欠黄昻之錢壹拾弍文弍犮三方着盛先还蔡盛當 堂清还其餘候光圈理会可也 来數簿故将數向他取討蔡盛呈數列𦤼查阅只欠黄昻 之錢壹拾贰文弍犮三方谕着黄昻尋王光圈與蔡盛面会據 已还王光圈収去奈王光圈逃走难以面会止有寄伊令郎还,12_21_0006_p006_r_2
